movie_odid,display_name,territory,release_date,total_box_office,currency,local_box_office,opening_weekend_revenue,opening_weekend_theaters,maximum_theaters,theatrical_engagements
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Serbia and Montenegro,2012-11-22,151669,RSD,13051193,39532,13,13,194
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Singapore,2012-11-22,3184396,SGD,3907572,1533449,62,62,134
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Slovakia,2012-11-15,1126302,EUR,851935,596485,40,40,139
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Slovenia,2012-11-15,375965,EUR,281560,125168,11,11,88
139990100,"The Twilight Saga: Breaking Dawn, Part 2",South Africa,2012-11-16,4049711,ZAR,34931187,1265672,107,118,504
139990100,"The Twilight Saga: Breaking Dawn, Part 2",South Korea,2012-11-15,17418074,KRW,18719900851,5888515,665,665,1926
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Spain,2012-11-16,30181180,EUR,22687193,11923269,1052,1052,3734
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Sweden,2012-11-14,7834929,SEK,51191076,2312287,195,195,603
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Switzerland,2012-11-14,5068424,CHF,3455823,595357,36,138,473
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Taiwan,2012-11-16,6012931,TWD,174495258,1589331,49,49,265
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Thailand,2012-11-15,6234483,THB,190712835,3204055,332,332,726
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Turkey,2012-11-16,7483818,TRY,13093688,2338168,310,310,1700
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Ukraine,2012-11-15,3272523,UAH,26540162,1569929,101,107,441
139990100,"The Twilight Saga: Breaking Dawn, Part 2",United Arab Emirates,2012-11-15,3039792,AED,11165764,1564073,78,78,143
139990100,"The Twilight Saga: Breaking Dawn, Part 2",United Kingdom,2012-11-16,57946292,UKP,35926701,25567380,558,559,2913
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Uruguay,2012-11-16,395428,UYU,7631721,125177,18,18,78
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Venezuela,2012-11-16,9353315,VEF,40119174,0,0,89614,174172
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Vietnam,2012-11-16,1747779,VND,36381792657,516301,34,34,131
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Rest of World,,5085573,,0,0,0,0,0
140080100,Stone,Bolivia,2012-10-04,1123,BOB,7816,1123,1,1,1
140080100,Stone,Rest of World,,2253819,,0,0,0,0,0
140090100,Frankenweenie,Argentina,2012-11-01,1145240,ARS,5625762,353626,88,88,308
140090100,Frankenweenie,Australia,2012-10-25,1941884,AUD,1857995,602492,213,213,863
140090100,Frankenweenie,Austria,2013-01-24,63933,EUR,48896,0,0,11,62
