movie_odid,display_name,domain,id
139970100,La siciliana ribelle,the-numbers.com/movie,siciliana-ribelle-La
139970100,La siciliana ribelle,EIDR,10.5240/3D8D-BCE7-AB71-9291-F4E0-I
139970100,La siciliana ribelle,warnerbros.com/MPM,2051654
139970100,La siciliana ribelle,veronicamagazine.nl,846593
139970100,La siciliana ribelle,IMDB,tt1213926
139970100,La siciliana ribelle,IVA,777828
139970100,La siciliana ribelle,amazon.com,B00BK0UROI
139970100,La siciliana ribelle,flixster.com,770807714
139970100,La siciliana ribelle,netflix.com,70128366
139970100,La siciliana ribelle,thecinemasource.com,74506
139970100,La siciliana ribelle,lumiere.obs.coe.int,31760
139970100,La siciliana ribelle,webedia-group.com,126391
139970100,La siciliana ribelle,ISAN,0000-0002-DDC5-0000-V-0000-0000-I
139970100,La siciliana ribelle,sfi.se,76461
139970100,La siciliana ribelle,wikidata.org,Q182284
139970100,La siciliana ribelle,opusdata.com/movie,139970100
139980100,"The Twilight Saga: Breaking Dawn, Part 1",commonsense.org/nid,1262716
139980100,"The Twilight Saga: Breaking Dawn, Part 1",commonsense.org/uuid,feee4012-9291-448c-a6db-a6bbc8ea4f27
139980100,"The Twilight Saga: Breaking Dawn, Part 1",IMDB,tt1324999
139980100,"The Twilight Saga: Breaking Dawn, Part 1",IVA,149755
139980100,"The Twilight Saga: Breaking Dawn, Part 1",amazon.com,B006TLFPKO
139980100,"The Twilight Saga: Breaking Dawn, Part 1",flixster.com,771040381
139980100,"The Twilight Saga: Breaking Dawn, Part 1",netflix.com,70202142
139980100,"The Twilight Saga: Breaking Dawn, Part 1",thecinemasource.com,94731
139980100,"The Twilight Saga: Breaking Dawn, Part 1",warnerbros.com/MPM,2059531
139980100,"The Twilight Saga: Breaking Dawn, Part 1",decellc.com,urn:dece:alid:org:lionsgate:2550035
139980100,"The Twilight Saga: Breaking Dawn, Part 1",comcast.com,5030486860108828112
139980100,"The Twilight Saga: Breaking Dawn, Part 1",spe.sony.com/ProductID,959176
139980100,"The Twilight Saga: Breaking Dawn, Part 1",ISAN,0000-0002-F3D1-0000-2-0000-0000-V
139980100,"The Twilight Saga: Breaking Dawn, Part 1",spe.sony.com/MPM,X8342700000
139980100,"The Twilight Saga: Breaking Dawn, Part 1",lumiere.obs.coe.int,37041
139980100,"The Twilight Saga: Breaking Dawn, Part 1",allocine.fr/movie,146214
139980100,"The Twilight Saga: Breaking Dawn, Part 1",vivendi.com/codemilo,25119
139980100,"The Twilight Saga: Breaking Dawn, Part 1",sfi.se,74890
139980100,"The Twilight Saga: Breaking Dawn, Part 1",dfi.dk/movie,74628
139980100,"The Twilight Saga: Breaking Dawn, Part 1",the-numbers.com/movie,Twilight-Saga-Breaking-Dawn-Part-1-The
139980100,"The Twilight Saga: Breaking Dawn, Part 1",EIDR,10.5240/8F68-1B8F-76E0-ECF4-C436-O
139990100,"The Twilight Saga: Breaking Dawn, Part 2",commonsense.org/nid,3468491
139990100,"The Twilight Saga: Breaking Dawn, Part 2",commonsense.org/uuid,b27fb4c2-a3f2-47a6-b563-6a40b58f55ff
139990100,"The Twilight Saga: Breaking Dawn, Part 2",warnerbros.com/MPM,2062489
139990100,"The Twilight Saga: Breaking Dawn, Part 2",amazon.com,B00BLQQQJ6
139990100,"The Twilight Saga: Breaking Dawn, Part 2",IVA,151421
139990100,"The Twilight Saga: Breaking Dawn, Part 2",IMDB,tt1673434
139990100,"The Twilight Saga: Breaking Dawn, Part 2",flixster.com,771202607
139990100,"The Twilight Saga: Breaking Dawn, Part 2",netflix.com,70206632
139990100,"The Twilight Saga: Breaking Dawn, Part 2",thecinemasource.com,141568
139990100,"The Twilight Saga: Breaking Dawn, Part 2",sho.com/MovieID,3356800
139990100,"The Twilight Saga: Breaking Dawn, Part 2",decellc.com,urn:dece:cid:org:lionsgate:2550036
139990100,"The Twilight Saga: Breaking Dawn, Part 2",comcast.com,8775054658872087112
139990100,"The Twilight Saga: Breaking Dawn, Part 2",spe.sony.com/ProductID,1202133
139990100,"The Twilight Saga: Breaking Dawn, Part 2",ISAN,0000-0003-5BA7-0000-F-0000-0000-T
139990100,"The Twilight Saga: Breaking Dawn, Part 2",spe.sony.com/MPM,XB102800000
139990100,"The Twilight Saga: Breaking Dawn, Part 2",lumiere.obs.coe.int,40117
139990100,"The Twilight Saga: Breaking Dawn, Part 2",allocine.fr/movie,182749
139990100,"The Twilight Saga: Breaking Dawn, Part 2",vivendi.com/codemilo,25120
139990100,"The Twilight Saga: Breaking Dawn, Part 2",the-numbers.com/movie,Twilight-Saga-Breaking-Dawn-Part-2-The
139990100,"The Twilight Saga: Breaking Dawn, Part 2",EIDR,10.5240/02D8-62D5-555F-C358-ED60-V
140020100,Helena From the Wedding,the-numbers.com/movie,Helena-From-the-Wedding
140020100,Helena From the Wedding,EIDR,10.5240/44B1-8555-44F4-DB6E-BAE2-7
140020100,Helena From the Wedding,IMDB,tt1394211
140020100,Helena From the Wedding,flixster.com,770874169
140020100,Helena From the Wedding,netflix.com,70134635
140020100,Helena From the Wedding,thecinemasource.com,90218
140020100,Helena From the Wedding,lumiere.obs.coe.int,36925
140020100,Helena From the Wedding,webedia-group.com,186305
140020100,Helena From the Wedding,tcm.com,796481
140020100,Helena From the Wedding,opusdata.com/movie,140020100
140030100,Monsters,IVA,415718
140030100,Monsters,amazon.com,B0044BY98K
140030100,Monsters,flixster.com,771039394
140030100,Monsters,netflix.com,70135635
140030100,Monsters,thecinemasource.com,90255
140030100,Monsters,warnerbros.com/MPM,2056471
140030100,Monsters,veronicamagazine.nl,847937
140030100,Monsters,redbeemedia.com,31167076
140030100,Monsters,bfi.org.uk,150760159
140030100,Monsters,paramount.com/mpm,2500035831
140030100,Monsters,spe.sony.com/ProductID,68820
140030100,Monsters,IMDB,tt1470827
140030100,Monsters,spe.sony.com/MPM,X1310800000
140030100,Monsters,lumiere.obs.coe.int,34964
140030100,Monsters,allocine.fr/movie,183325
140030100,Monsters,ISAN,0000-0002-A32C-0000-Q-0000-0000-X
140030100,Monsters,wikidata.org,Q1460092
140030100,Monsters,dfi.dk/movie,70390
140030100,Monsters,the-numbers.com/movie,Monsters
140030100,Monsters,EIDR,10.5240/7ECE-8DE7-299D-8773-1BE0-Y
140040100,Catfish,IVA,83187
140040100,Catfish,amazon.com,B004FP1WX0
