,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
1577,s1578,Movie,XX,,,"Canada, United States, Mexico",2020-06-22,2017,R,81 min,Horror,Four dark horror stories by women: Annie Clark with THE BIRTHDAY PARTY; Karyn Kusama exorcises HER ONLY LIVING SON; Roxanne Benjamin screams DONâ€™T FALL; and Jovanka Vuckovic dares to open THE BOX. Award-winning Sofia Carrillo wraps it all together.
1578,s1579,Movie,Juneteenth: A Celebration of Overcoming,,,,2020-06-20,2020,,,"Documentaries, News","An observance of Juneteenth, the holiday celebrating the end of slavery in America, and its meaning to the ongoing struggle for black equality in America."
1579,s1580,Movie,Buffaloed,,,United States,2020-06-18,2019,95 min,,Comedy,A woman is desperate to escape her life in Buffalo and finds a way by becoming a debt collector.
1580,s1581,Movie,Crawl,,,"United States, Serbia, Canada",2020-06-18,2019,R,87 min,"Horror, Thriller","A young woman, while attempting to save her father during a Category 5 hurricane, finds herself trapped in a flooding house and must fight for her life against alligators."
1587,s1588,Movie,Your Home Made Perfect,,,United Kingdom,2020-06-15,2019,2 Seasons,,Reality,"Never before have plans come to life like this: people can instantly explore a stunning transformation of their bedroom, walk around an incredible double-height kitchen or see how adding a gigantic picture window will turn a dingy lounge into a stunning sitting room with a massive wow-factor. In each episode, a family who lives in an unsuitable and impractical home will be presented with two radically different designs by two extraordinary architects. The couple must decide which theyâ€™ll build in reality before the most extraordinary final reveal. Will the winning design solve the problems in their home and improve their lives."
1588,s1589,Movie,Pan,,,"United States, United Kingdom, Australia",2020-06-14,2015,PG,112 min,"Action, Adventure, Family",Hugh Jackman stars in this magical adaptation of 'Peter Pan' that finds Peter up against devious pirate Blackbeard.
1589,s1590,Movie,The Dustwalker,,,"Australia, United Arab Emirates",2020-06-14,2019,95 min,,"Drama, Horror, Science Fiction","Set in an isolated town in the middle of a harsh red desert, Sergeant Joanne Sharp fights to protect the town's people as they try to survive an insidious parasite brought to earth by an Alien spacecraft."
1590,s1591,Movie,Eye In The Sky,,,,2020-06-13,2015,R,102 min,"Drama, Thriller",A thriller set in the world of remotely piloted aircraft warfare.
1591,s1592,Movie,Child's Play,,,"Canada, United States",2020-06-12,2019,R,90 min,"Horror, Thriller","A contemporary re-imagining of the 1988 horror classic, ""Child's Play"" follows Karen, a single mother who gifts her son Andy a Buddi doll, unaware of its more sinister nature."
1592,s1593,Movie,Clemency,,,United States,2020-06-12,2019,R,112 min,"Black Stories, Drama","Years of carrying out death row executions have taken a toll on prison warden Bernadine Williams (Alfre Woodard). As she prepares to execute another inmate, Bernadine must confront the psychological and emotional demons her job creates."
1594,s1595,Movie,Good Boy,,,United States,2020-06-12,2020,TV-MA,89 min,"Horror, Thriller","When Maggie gets an emotional support dog to help quell some of her anxiety, she finds him to be even more effective than she imagined... because he kills anyone who adds stress to her life."
1595,s1596,Movie,LA 92,,,United States,2020-06-12,2017,TV-MA,114 min,"Black Stories, Documentaries","Twenty-five years after the verdict in the Rodney King trial sparked several days of protests, violence and looting in Los Angeles, LA 92 immerses viewers in that tumultuous period through stunning and rarely seen archival footage."
1596,s1597,Movie,Soccer,,,,2020-06-12,2017,,,Sports,Soccer games.
1597,s1598,Movie,A Beautiful Planet,,,United States,2020-06-11,2016,G,46 min,"Documentaries, Kids","A Beautiful Planet is a breathtaking portrait of Earth from space. Made in cooperation with NASA, the film features stunning footage of our magnificent blue planet â€“ and the effects humanity has had on it over time."
1598,s1599,Movie,Destiny in Space,,,"Canada, United States",2020-06-11,1994,40 min,,"Documentaries, Kids","""Destiny In Space"" provides an inspiring look at the challenges future generations will face in exploring the universe. For the first time on the giant screen, audiences travel outside the space shuttle as it orbits 200 miles above the Earth. Along with thrilling fly-overs of Mars and Venus, the film focuses on the dramatic partnership of humans and robots working in space."
1599,s1600,Movie,Fires of Kuwait,,,United States,2020-06-11,1992,36 min,,Documentaries,Fires of Kuwait is an eloquent visual testimony to the remarkable resourcefulness and heroism of the men and women who extinguished and controlled over 600 burning and gushing oil wells sabotaged by retreating Iraqi troops in the aftermath of the Gulf War
1600,s1601,Movie,Galapagos,,,United States,2020-06-11,1999,39 min,,"Documentaries, Kids",Journey with marine biologist Dr. Carole Baldwin on an adventure to the famed Galapagos Islands.
1601,s1602,Movie,IMAX: T-Rex: Back to the Cretaceous,,,,2020-06-11,1998,,46 min,"Adventure, Kids","Dinosaurs are very much alive â€“ at least in the mind of teenager Ally Hayden. When a museum accident transports Ally on an adventure back in time to explore the terrain and territory of life-size dinosaurs, she is thrust literally nose-to-nose with the largest and most realistic dinosaur ever to appear on a movie screen - the fearsome 20-foot tall, 15-ton Tyrannosaurus Rex, projected in IMAX 2D and 3D onto the 80 foot high IMAX screen."
1602,s1603,Movie,Into the Deep,,,"United States, Canada",2020-06-11,1994,34 min,,"Documentaries, Kids",Into the Deep takes you on a spectacular exploration of the undersea world. The film captures unique marine life and magnificent underwater vistas. Dive under the sea to the kelp forests off the southern coast of California
1603,s1604,Movie,Journey to the South Pacific,,,United States,2020-06-11,2013,G,40 min,"Documentaries, Kids","Jawi, a boy living on a tropical island in West Papua, encounters whale sharks, sea turtles and other creatures of the sea."
1604,s1605,Movie,Pandas,,,United States,2020-06-11,2018,G,42 min,"Documentaries, Kids","Join narrator Kristen Bell in Pandas, a heartwarming story about the adventures of Qian Qian, a captive-born giant panda cub who's destined for life in the wild."
1605,s1606,Movie,Space Station,,,"Canada, United States",2020-06-11,2002,47 min,,"Documentaries, Kids","Travel 220 miles above Earth at 17,500 mph to experience the greatest engineering feat since landing a man on the Moon. Space Station is the story of a unique partnership of 16 nations building a laboratory in outer space â€“ a permanent facility"
1606,s1607,Movie,Survival Island,,,"United States, Japan",2020-06-11,1996,96 min,,Documentaries,Penguins and sea lions migrate to South Georgia Island in spring and summer.
1607,s1608,Movie,The Dream Is Alive IMAX,,,,2020-06-11,1985,,37 min,"Documentaries, Kids","""The Dream Is Alive"" gives the viewer an unprecedented window on board the space shuttle. Shot by 14 NASA astronauts on three shuttle missions in 1984, the film includes footage of launches and landings, satellite capture and repairs, space walks and an inside look at how the astronauts live in space. Experience the sensation of weightlessness and the splendor of Earth from 250 miles up."
1610,s1611,Movie,Absolute Boyfriend,,,South Korea,2020-06-08,2019,1 Season,,"Comedy, International","Love is never easy, which is why Da Da (Minah) has sworn off men forever. The long-time girlfriend of a popular actor, Ma Wang Joon (Hong Jong Hyun), Da Da never had an easy love life. After seven years with a man too popular for his own good, Da Da decides enough is enough. Alone for the first time in years, the special effects makeup artist finds herself alone. But not for long. When an odd package is delivered to her by mistake, Da Da canâ€™t help but take a quick peek inside. Falling into her arms, the second the box is opened, Zero Nine (Yeo Jin Goo), the state-of-the-art robot companion is activated by their accidental â€œkissâ€. Unintentionally thrust into the seven day trial period, Da Da finds herself stuck taking care of this handsome â€œboyfriendâ€ for the next week. With such a perfect companion by her side, youâ€™d think Da Da would be more than satisfied with her new love life. But when Ma Wang Joon turns up, things get a little more complicated. A hilarious girl meets boy/meets robot love story, â€œAbsolute Boyfriendâ€ is a 2019 Viki Original drama series based on the ever-popular manga, â€œZettai Kareshiâ€ by Yuu Watase."
1612,s1613,Movie,Frankie,,,,2020-06-05,2019,PG-13,100 min,Drama,A family confronts a life-altering crisis while vacationing in Portugal.
1613,s1614,Movie,Shirley,,,United States,2020-06-05,2020,R,107 min,"Drama, Horror, Thriller","Upon moving to a small Vermont college town, Fred and Rose get an offer for free room and board from a professor, as long as Rose agrees to look after his wife, acclaimed horror author Shirley Jackson."
1615,s1616,Movie,And We Go Green,,,United States,2020-06-04,2019,99 min,,Documentaries,"Professional drivers on the international Formula E circuit - like Formula One, but with eco-friendly electric cars - race for victory across 10 cities in this white-knuckle documentary."
1616,s1617,Movie,Miss Snake Charmer,,,United States,2020-06-04,2018,65 min,,Documentaries,Miss Snake Charmer contestants are not your typical high school beauty queens. The teens must show they are more than just pretty faces-that they have the guts and grit to win America's toughest beauty pageant.
1617,s1618,Movie,A Beautiful Day in the Neighborhood,,,,2020-06-02,2019,PG,109 min,Drama,Based on the true story of a real-life friendship between Fred Rogers and journalist Tom Junod.
1619,s1620,Movie,4th Man Out,,,United States,2020-06-01,2015,86 min,,"Comedy, Drama","Adam, a small-town mechanic, decides itâ€™s time to tell his friends and family heâ€™s gay. Will his straight-as-an-arrow best bros have his back? A lighthearted and unexpectedly subversive comedy about coming out of the blue-collar closet."
1620,s1621,Movie,Above and Beyond,,,"United Kingdom, Israel, United States",2020-06-01,2014,TV-14,86 min,Documentaries,"In 1948, a group of Jewish American pilots flew for Israel in its War of Independence. The first feature-length doc about the foreign airmen in the â€™48 War, ABOVE AND BEYOND weaves interviews and footage to present a fascinating, little-known tale."
1621,s1622,Movie,Almost Adults,,,Canada,2020-06-01,2016,90 min,,"Comedy, Drama, LGBTQ+",A platonic love story about two life long best friends struggling to keep their friendship together as their lives head in different directions.
1624,s1625,Movie,Dirty Dancing: Havana Nights,,,United States,2020-06-01,2004,TV-14,83 min,"Drama, Music, Romance",Katie arrives in Cuba where she meets Javier and discovers a passion.
1625,s1626,Movie,Equilibrium,,,United States,2020-06-01,2002,R,107 min,Science Fiction,"In a futuristic world, a strict regime has eliminated war by suppressing emotions: books, art and music are strictly forbidden and feeling is a crime punishable by death."
1626,s1627,Movie,Hail Columbia!,,,United States,2020-06-01,1982,37 min,,Documentaries,Experience one of humankind's crowning achievements â€“ the inaugural voyage of the world's first space shuttle. Hail Columbia! goes behind the scenes with astronauts John Young and Robert Crippen as they prepare for their historic launch
1627,s1628,Movie,Happily N'Ever After,,,"United States, Germany, Canada, United Kingdom",2020-06-01,2007,PG,87 min,"Action, Adventure, Comedy","When Cinderella's fairytale life takes a radical turn for the worse, she sheds her damsel-in-distress trappings and fights back against her power-mad stepmother!"
1628,s1629,Movie,Inside 30 for 30,,,,2020-06-01,2020,,,"Documentaries, Sports","Inside 30 for 30 is a deep-dive, roundtable discussion providing historical context and analytical takes with a diverse line-up of hosts and interviewees tangentially associated with 30 for 30 films."
1629,s1630,Movie,Just Eat It: A Food Waste Story,,,"Canada, United Kingdom, United States",2020-06-01,2014,73 min,,Documentaries,"Filmmakers and food lovers, Jen and Grant dive into the issue of food waste from farm and retail, right to the back of their own fridge. In a deliciously entertaining challenge, they pledge to quit grocery shopping and survive only on discarded food."
1631,s1632,Movie,Meet Me in Montenegro,,,"United States, Germany, Norway, United Kingdom, Montenegro",2020-06-01,2014,90 min,,"Comedy, Drama, Romance","In this globe-trotting, funny romance two ex-lovers meet by chance during a visit to Berlin, and their affair is rekindled in spite of the fact that they are both moving to opposite ends of the earth in forty-eight hours."
1632,s1633,Movie,Spider-Man,,,,2020-06-01,2002,PG-13,121 min,"Action, Adventure, Family",A spider bite transforms a nerdy teen into a web-slinging superhero in this spectacular adaptation of the landmark comic book.
1633,s1634,Movie,Spider-Man 2,,,,2020-06-01,2004,PG-13,128 min,"Action, Adventure, Family",Peter Parker must overcome his personal demons while his web-slinging alter ego battles arch-villain Dr. Octopus.
1634,s1635,Movie,The 10 Year Plan,,,,2020-06-01,2015,,92 min,"Comedy, LGBTQ+, Romance","Myles and Brody are two best friends who make a pact to be a couple if neither has found love in ten yearsâ€™ time. Now that their arrangement is due, both friends do whatever it takes to avoid becoming each otherâ€™s last resort."
1636,s1637,Movie,Women and Sometimes Men,,,,2020-06-01,2018,,87 min,"Drama, Romance","Briefly engaged, Sara decides to call off her marriage. She had an experience with a woman in college and wants that feeling again, without giving up men. This launches Sara on a journey filled with laughter, tears, women and sometimes men."
1637,s1638,Movie,Disappearance at Clifton Hill,,,Canada,2020-05-29,2019,101 min,,"Drama, Mystery","Obsessed with memories of an unsolved crime from her childhood, a young woman's investigation reveals the seedy underbelly beneath her idyllic Niagara Falls tourist town."
1645,s1646,Movie,I Still Believe,,,United States,2020-05-26,2020,PG,116 min,"Drama, Music, Romance",From the makers of I CAN ONLY IMAGINE comes the true life story of Christian music mega star Jeremy Camp. His remarkable journey of love and loss proves there is always hope in the midst of tragedy and that faith tested is the only faith worth sharing.
1647,s1648,Movie,This Mountain Life,,,"Canada, United States",2020-05-26,2019,78 min,,"Adventure, Documentaries",Martina and her 60-year-old mother embark on a 6-month ski trek through the treacherous Coast Mountains of BC. Their adventure is interspersed with five beautifully crafted portraits of high-altitude human endurance and passion.
1648,s1649,Movie,The Tracker,,,"Italy, United States",2020-05-25,2019,R,87 min,"Action, Adventure, Horror","A mysterious stranger travels to a remote village where, 15 years earlier, his wife and daughter were kidnapped."
1649,s1650,Movie,UFC 249,,,,2020-05-25,2020,,,Sports,"UFC 249 Prelims on ESPN and Main Event on ESPN+ PPV. Greg Hardy vs. Yorgan De Castro, heavyweight bout; Jeremy Stephens vs. Calvin Kattar, featherweight bout; Francis Ngannou vs. Jairzinho Rozenstruik, heavyweight bout; Henry Cejudo vs. Dominich Cruz, bantamweight title bout; Tony Ferguson vs. Justin Gaethje, interim lightweight title bout. From Jacksonville, Fla."
1650,s1651,Movie,Drag Kids,,,Canada,2020-05-24,2019,78 min,,Documentaries,"Four preteen drag queens come together for the biggest performance of their young lives. As they prepare for the big show, they struggle to claim a place of their own on the fringes of a fringe culture."
1651,s1652,Movie,AKA Jane Roe,,,,2020-05-23,2020,TV-MA,,"Documentaries, History","Norma McCorvey, a.k.a. â€œJane Roe,"" reveals the truth behind her story in Americaâ€™s abortion debate."
1653,s1654,Movie,Premature,,,United States,2020-05-22,2019,R,90 min,"Black Stories, Drama, Romance",A young woman finds herself on the precipice of adulthood as she navigates her way through the highs and lows of a life-changing summer romance in Harlem.
1654,s1655,Movie,Rocketman,,,"United Kingdom, United States, Canada",2020-05-22,2019,R,121 min,"Drama, LGBTQ+, Music","The story of Elton John's life, from his years as a prodigy at the Royal Academy of Music through his influential and enduring musical partnership with Bernie Taupin."
1655,s1656,Movie,The Painter and the Thief,,,Norway,2020-05-22,2020,107 min,,"Documentaries, International","Desperate for answers about the theft of her 2 paintings, a Czech artist befriends the criminal who stole them. After inviting her thief to sit for a portrait, they form an relationship and bond that will forever link these lonely souls."
1656,s1657,Movie,Top End Wedding,,,Australia,2020-05-22,2019,102 min,,"Comedy, Romance","Lauren and Ned are engaged, they are in love, and they have just ten days to find Lauren's mother who has gone AWOL somewhere in the remote far north of Australia, reunite her parents and pull off their dream wedding."
1658,s1659,Movie,Red Dog,,,"United States, Costa Rica",2020-05-21,2019,102 min,,Documentaries,"Hit songwriter Luke Dick spent his childhood in the rowdiest strip club in OKC, the Red Dog. 30 years later, he began questioning his former stripper mom about his childhood- and she turned out more hilariously frank than he ever imagined."
1659,s1660,Movie,2nd Date Sex,,,,2020-05-20,2019,,81 min,"Comedy, Romance",How Bad can a second date get? Laura and Ryan are about to find out.
1660,s1661,Movie,Above the Shadows,,,United States,2020-05-20,2019,111 min,,"Drama, Science Fiction","A supernatural tale starring Olivia Thirlby, Alan Ritchson, Jim Gaffigan, Maria Dizzia, Tito Ortiz, David Johansen, and Megan Fox following an invisible woman who must find her way back with the help of the one man who can see her."
1661,s1662,Movie,Already Tomorrow in Hong Kong,,,"United States, Hong Kong",2020-05-20,2015,78 min,,"Comedy, Romance","Ruby and Josh spent an unforgettable night together in Hong Kong a year ago, and now their brief encounter is about to get a second chance. This charming walk and talk romance takes full advantage of the magical landscape that is Hong Kong at night."
1662,s1663,Movie,Autonomy,,,United States,2020-05-20,2019,80 min,,Documentaries,"Acclaimed author, Malcolm Gladwell, leads this feature documentary about the emerging technology of self-driving vehicles and the big questions they raise: what is control and who do we become as we relinquish it to machines?"
1663,s1664,Movie,Big Men,,,"United Kingdom, Denmark, United States",2020-05-20,2013,100 min,,Documentaries,"Executive produced by Brad Pitt, Big Men is a real-life Treasure of the Sierra Madre about ambitious people who uncover oil in one of the poorest places on earth. An international suspense story with extraordinary access."
1664,s1665,Movie,Cosmos,,,United Kingdom,2020-05-20,2019,129 min,,"Action, Adventure, Drama","Three amateur astronomers accidentally intercept what they believe to be a signal from a distant alien civilization, but the truth they uncover is more incredible than any of them dare to believe."
1665,s1666,Movie,Da Sweet Blood of Jesus,,,,2020-05-20,2015,,124 min,"Comedy, Horror, Thriller","In this stylized Spike Lee thriller, a man cursed by a mysterious ancient African artifact is overwhelmed by a newfound thirst for blood, which leads him into a dangerous romance that calls into question the very nature of love, addiction, sex and status."
1667,s1668,Movie,Saving Atlantis,,,"United States, Australia, Colombia, French Polynesia, Saudi Arabia",2020-05-20,2018,,75 min,Documentaries,"Saving Atlantis focuses on the loss of coral reef ecosystems around the world, and the impact of that decline on the communities that depend on them, on a global journey that celebrates the majesty and mystery of coral habitats"
1669,s1670,Movie,The Mandela Effect,,,United States,2020-05-20,2019,80 min,,"Horror, Science Fiction, Thriller","A man becomes obsessed with facts and events that have been collectively misremembered by thousands of people. Believing the phenomena to be the symptom of something larger, his obsession eventually leads him to question reality itself."
1677,s1678,Movie,My Friend Dahmer,,,United States,2020-05-15,2017,R,109 min,"Drama, Horror","Disneyâ€™s Ross Lynch stars as the awkward, adolescent Jeffrey Dahmer â€“ before he became one of Americaâ€™s most infamous serial killers. Based on the acclaimed graphic novel, this is the haunting, sad, funny, true story of Dahmer in high school."
1678,s1679,Movie,Saving Flora,,,,2020-05-15,2018,TV-PG,96 min,"Action, Adventure, Drama","After learning that an aging circus elephant is scheduled to be euthanized, the circus owner's daughter decides to kidnap her and relocate her to an elephant preserve."
1680,s1681,Movie,The Boy Downstairs,,,,2020-05-15,2018,TV-14,91 min,"Comedy, Romance","An aspiring writer returns to New York after a few years abroad, only to discover that her ex-boyfriend is living in the same building."
1681,s1682,Movie,The Cat Rescuers,,,United States,2020-05-15,2018,87 min,,Documentaries,"A dedicated group of people in Brooklyn devote their days and nights to rescuing abandoned or otherwise homeless kittens and cats. Of course, the animals are adorable, but the people are equally inspiring."
1685,s1686,Movie,APPARE-RANMAN!,,,Japan,2020-05-10,2020,1 Season,,"Action, Adventure, Anime","The socially awkward genius engineer, Appare Sorano, and the wise but cowardly samurai, Kosame Isshiki, enter a trans-American race to win the prize money and get back home. But various dangers await on this race from Los Angeles to New York."
